user_id,Age,Gender,Location,cohort_year,First_tran_date,total_txn,total_amount,revenue,active_months,carrier_mode,AOV
50668873,28_to_32,MALE,HCMC,2020,2020-04-06,1,20000.0,400.0,1,Viettel,20000.0
49876632,23_to_27,MALE,Other Cities,2019,2019-10-11,1,100000.0,3000.0,1,Mobifone,100000.0
46923440,unknown,MALE,Other Cities,2019,2019-04-26,1,10000.0,200.0,1,Viettel,10000.0
46324892,unknown,MALE,Other Cities,2019,2019-04-14,1,10000.0,200.0,1,Viettel,10000.0
21111268,unknown,FEMALE,HCMC,2020,2020-06-24,1,10000.0,200.0,1,Viettel,10000.0
45601640,unknown,FEMALE,HCMC,2019,2019-11-04,1,50000.0,1500.0,1,Mobifone,50000.0
40161270,unknown,FEMALE,HCMC,2019,2019-04-11,1,20000.0,600.0,1,Mobifone,20000.0
53803806,unknown,MALE,HCMC,2020,2020-02-20,1,300000.0,6000.0,1,Viettel,300000.0
45620020,18_to_22,FEMALE,Other Cities,2019,2019-03-22,1,10000.0,200.0,1,Viettel,10000.0
25368603,28_to_32,FEMALE,HCMC,2018,2018-10-06,1,100000.0,3000.0,1,Mobifone,100000.0
38836838,unknown,MALE,HN,2020,2020-05-23,1,100000.0,3000.0,1,Mobifone,100000.0
5184852,unknown,MALE,Other Cities,2018,2018-09-24,1,10000.0,300.0,1,Mobifone,10000.0
38677498,28_to_32,MALE,Other Cities,2017,2017-12-09,1,200000.0,6000.0,1,Mobifone,200000.0
49174642,18_to_22,FEMALE,HN,2019,2019-12-24,1,20000.0,800.0,1,Vinaphone,20000.0
44428998,18_to_22,MALE,HN,2018,2018-12-22,1,50000.0,1000.0,1,Viettel,50000.0
46061342,28_to_32,MALE,HN,2019,2019-02-25,1,30000.0,600.0,1,Viettel,30000.0
54110803,>37,MALE,Other Cities,2020,2020-06-09,1,20000.0,400.0,1,Viettel,20000.0
36800939,18_to_22,FEMALE,HCMC,2019,2019-05-18,1,20000.0,800.0,1,Vinaphone,20000.0
1945300,33_to_37,MALE,Other Cities,2019,2019-07-14,1,200000.0,6000.0,1,Mobifone,200000.0
40053301,33_to_37,FEMALE,Other Cities,2019,2019-03-22,1,100000.0,3000.0,1,Mobifone,100000.0
41195242,33_to_37,MALE,HN,2018,2018-02-26,1,100000.0,2000.0,1,Viettel,100000.0
3934510,33_to_37,MALE,HCMC,2018,2018-04-13,1,10000.0,300.0,1,Mobifone,10000.0
32217762,33_to_37,MALE,HCMC,2018,2018-04-10,1,100000.0,3000.0,1,Mobifone,100000.0
46910796,33_to_37,MALE,HCMC,2019,2019-04-25,1,30000.0,900.0,1,Mobifone,30000.0
13168065,33_to_37,FEMALE,HN,2019,2019-11-18,1,50000.0,2000.0,1,Vinaphone,50000.0
42329884,28_to_32,FEMALE,Other Cities,2018,2018-06-25,1,50000.0,1500.0,1,Mobifone,50000.0
